days,date,Jam,Deposit,Coin,Transaksi,Jumlah,Buy,Sell,Penarikan
Jumat,29,2,50.000,mtc,497,27,2.000.000,358,100.000
Selasa,16,5,500.000,bnb,377,30,2.000.000,474,100.000
Kamis,22,11,50.000,btc,264,434,100.000,482,2.000.000
Senin,12,8,500.000,btc,581,30,100.000,127,2.000.000
Selasa,11,6,100.000,mtc,405,105,1.555.345.355,432,2.000.000
Selasa,18,0,50.000,mtc,596,885,2.000.000,420,500.000
Jumat,14,1,50.000,btc,213,468,100.000,362,100.000
Minggu,8,3,100.000,bnb,598,957,2.000.000,174,500.000
Minggu,24,5,50.000,bnb,374,782,100.000,154,100.000
Minggu,26,2,50.000,btc,400,956,100.000,341,100.000
Senin,3,9,500.000,mtc,240,578,100.000,174,2.000.000
Sabtu,20,1,500.000,mtc,242,30,1.555.345.355,477,100.000
Minggu,4,7,500.000,mtc,360,756,2.000.000,134,100.000
Minggu,12,10,500.000,mtc,524,721,1.555.345.355,225,500.000
Jumat,26,9,100.000,btc,318,89,1.555.345.355,351,100.000
Selasa,4,6,500.000,btc,364,993,100.000,224,100.000
Sabtu,28,10,100.000,mtc,437,934,2.000.000,116,2.000.000
Rabu,19,5,50.000,bnb,537,338,1.555.345.355,160,500.000
Minggu,30,3,500.000,btc,491,796,100.000,146,100.000
Selasa,4,7,500.000,bnb,450,48,2.000.000,399,100.000
Kamis,27,7,50.000,btc,260,829,1.555.345.355,183,2.000.000
Jumat,12,6,500.000,bnb,489,907,2.000.000,201,100.000
Selasa,30,11,50.000,btc,571,496,2.000.000,100,2.000.000
Rabu,25,11,100.000,mtc,336,736,1.555.345.355,201,100.000
Selasa,26,1,100.000,bnb,363,270,100.000,112,500.000
Selasa,21,1,100.000,btc,374,851,1.555.345.355,148,500.000
Jumat,13,8,100.000,bnb,381,25,1.555.345.355,428,100.000
Jumat,6,1,500.000,mtc,275,344,1.555.345.355,247,2.000.000
Sabtu,27,8,100.000,mtc,576,795,100.000,340,100.000
Sabtu,18,8,50.000,bnb,425,451,2.000.000,496,500.000
Sabtu,27,6,50.000,btc,455,325,1.555.345.355,339,100.000
Minggu,23,8,50.000,btc,359,74,1.555.345.355,284,500.000
Selasa,10,5,500.000,mtc,418,702,1.555.345.355,371,100.000
Sabtu,8,1,500.000,bnb,307,314,1.555.345.355,301,500.000
Rabu,1,6,50.000,btc,395,851,1.555.345.355,324,500.000
Minggu,3,0,100.000,mtc,569,680,100.000,284,2.000.000
Sabtu,5,7,50.000,bnb,499,968,100.000,130,500.000
Kamis,18,6,500.000,mtc,531,690,100.000,492,500.000
Jumat,22,6,500.000,bnb,540,99,1.555.345.355,371,2.000.000
Selasa,9,2,50.000,bnb,205,912,100.000,206,100.000
Kamis,13,9,50.000,bnb,587,434,1.555.345.355,293,2.000.000
Sabtu,25,8,500.000,mtc,413,32,100.000,330,500.000
Jumat,11,3,50.000,bnb,498,460,2.000.000,410,500.000
Selasa,11,5,100.000,bnb,454,730,2.000.000,323,2.000.000
Rabu,21,7,500.000,mtc,200,476,1.555.345.355,437,500.000
Rabu,1,10,500.000,bnb,409,226,2.000.000,105,100.000
Jumat,17,0,50.000,bnb,261,949,2.000.000,457,2.000.000
Kamis,3,2,100.000,btc,572,906,100.000,499,500.000
Jumat,11,7,500.000,bnb,270,68,2.000.000,173,2.000.000
Kamis,6,2,500.000,btc,516,247,1.555.345.355,342,2.000.000
Selasa,30,2,100.000,btc,232,850,100.000,203,2.000.000
Selasa,4,11,100.000,bnb,253,769,100.000,280,100.000
Jumat,18,8,50.000,bnb,572,314,1.555.345.355,484,2.000.000
Jumat,22,5,500.000,mtc,213,465,1.555.345.355,262,500.000
Rabu,1,2,500.000,btc,293,750,100.000,205,100.000
Kamis,26,3,100.000,bnb,501,841,1.555.345.355,280,100.000
Kamis,25,0,50.000,btc,297,858,1.555.345.355,351,100.000
Selasa,27,5,50.000,mtc,474,821,2.000.000,151,2.000.000
Minggu,21,3,100.000,bnb,277,422,2.000.000,270,2.000.000
Jumat,13,10,50.000,mtc,325,250,100.000,207,100.000
Jumat,26,1,500.000,bnb,418,8,1.555.345.355,206,2.000.000
Kamis,12,3,500.000,bnb,386,127,2.000.000,108,500.000
Kamis,1,1,100.000,mtc,549,15,1.555.345.355,374,2.000.000
Minggu,2,0,50.000,mtc,235,398,1.555.345.355,158,500.000
Senin,26,11,50.000,btc,406,5,2.000.000,473,100.000
Jumat,26,11,500.000,bnb,242,233,1.555.345.355,129,100.000
Sabtu,7,0,100.000,bnb,262,913,1.555.345.355,479,100.000
Kamis,13,8,50.000,mtc,219,672,1.555.345.355,208,500.000
Minggu,5,2,100.000,mtc,253,924,2.000.000,117,500.000
Jumat,12,8,500.000,btc,369,897,100.000,391,2.000.000
Rabu,29,2,50.000,btc,268,321,100.000,340,500.000
Rabu,1,1,50.000,btc,357,416,100.000,464,100.000
Senin,25,1,50.000,mtc,510,490,1.555.345.355,484,100.000
Jumat,29,9,100.000,btc,227,69,2.000.000,205,100.000
Sabtu,5,3,500.000,btc,516,61,100.000,429,2.000.000
Rabu,6,9,50.000,mtc,485,790,2.000.000,413,500.000
Minggu,5,6,500.000,bnb,389,946,1.555.345.355,406,500.000
Jumat,25,2,500.000,bnb,598,305,100.000,127,500.000
Rabu,23,2,100.000,btc,222,634,1.555.345.355,333,2.000.000
Senin,4,10,100.000,bnb,257,246,100.000,159,100.000
Sabtu,5,8,500.000,btc,358,841,2.000.000,488,2.000.000
Selasa,30,5,100.000,mtc,404,452,1.555.345.355,296,2.000.000
Senin,27,1,100.000,mtc,441,354,1.555.345.355,184,100.000
Senin,18,2,50.000,btc,456,479,1.555.345.355,235,2.000.000
Rabu,8,4,500.000,btc,458,577,100.000,174,500.000
Rabu,18,7,500.000,btc,239,110,100.000,327,2.000.000
Rabu,19,5,100.000,btc,203,352,2.000.000,305,2.000.000
Jumat,11,10,50.000,bnb,245,349,100.000,417,100.000
Kamis,16,3,50.000,btc,487,570,2.000.000,109,100.000
Selasa,7,10,50.000,mtc,240,837,2.000.000,257,500.000
Rabu,11,11,100.000,bnb,505,755,1.555.345.355,450,500.000
Jumat,30,2,100.000,bnb,522,349,100.000,103,500.000
Kamis,17,0,500.000,mtc,308,666,100.000,387,100.000
Kamis,13,0,50.000,btc,301,744,100.000,136,100.000
Rabu,5,8,50.000,btc,408,704,100.000,475,500.000
Minggu,27,5,500.000,bnb,465,566,100.000,454,100.000
Sabtu,17,5,500.000,btc,314,810,2.000.000,435,100.000
Selasa,20,5,100.000,mtc,486,723,1.555.345.355,456,500.000
Minggu,18,3,100.000,bnb,376,371,2.000.000,475,100.000
Minggu,17,0,50.000,mtc,307,689,2.000.000,366,100.000
Kamis,12,7,500.000,bnb,551,94,1.555.345.355,305,100.000
Selasa,11,5,50.000,mtc,582,933,2.000.000,210,500.000
Rabu,21,10,50.000,mtc,200,891,1.555.345.355,227,500.000
Minggu,5,0,500.000,btc,249,916,1.555.345.355,369,500.000
Sabtu,7,4,100.000,btc,565,136,2.000.000,250,500.000
Minggu,24,10,100.000,bnb,535,126,1.555.345.355,138,100.000
Sabtu,19,11,50.000,bnb,545,193,1.555.345.355,304,2.000.000
Sabtu,25,5,500.000,btc,290,310,2.000.000,447,100.000
Rabu,4,10,50.000,mtc,509,521,100.000,185,2.000.000
Selasa,14,3,100.000,bnb,473,30,100.000,375,500.000
Jumat,15,4,500.000,btc,358,372,1.555.345.355,378,500.000
Rabu,21,5,100.000,btc,583,687,1.555.345.355,275,500.000
Minggu,18,9,500.000,btc,502,410,100.000,401,500.000
Kamis,4,10,100.000,bnb,529,692,1.555.345.355,177,2.000.000
Minggu,5,0,50.000,btc,306,669,2.000.000,363,100.000
Minggu,15,4,100.000,mtc,265,300,100.000,253,500.000
Sabtu,28,4,500.000,btc,328,421,1.555.345.355,131,2.000.000
Rabu,3,8,100.000,bnb,457,235,2.000.000,152,500.000
Senin,9,6,100.000,bnb,307,588,1.555.345.355,341,2.000.000
Kamis,15,7,50.000,bnb,219,333,1.555.345.355,308,500.000
Rabu,14,11,100.000,btc,271,638,100.000,128,2.000.000
Senin,3,0,100.000,mtc,435,800,1.555.345.355,338,100.000
Jumat,10,11,50.000,mtc,573,374,2.000.000,359,500.000
Senin,19,2,50.000,bnb,229,878,100.000,238,500.000
Kamis,23,7,500.000,btc,362,92,100.000,452,500.000
Senin,23,2,500.000,mtc,571,860,1.555.345.355,281,500.000
Sabtu,10,9,100.000,bnb,499,808,1.555.345.355,124,100.000
Kamis,21,5,50.000,bnb,483,925,100.000,436,500.000
Kamis,14,9,100.000,bnb,559,421,2.000.000,265,500.000
Selasa,6,0,50.000,btc,404,313,2.000.000,171,500.000
Minggu,7,2,500.000,bnb,363,62,1.555.345.355,350,2.000.000
Selasa,16,5,100.000,bnb,461,375,100.000,270,2.000.000
Sabtu,30,4,100.000,bnb,236,349,100.000,133,100.000
Sabtu,23,8,500.000,btc,480,48,2.000.000,115,100.000
Rabu,20,6,500.000,bnb,497,551,100.000,322,2.000.000
Minggu,29,2,500.000,btc,216,888,1.555.345.355,155,2.000.000
Senin,10,0,100.000,bnb,397,331,100.000,196,2.000.000
Jumat,11,10,500.000,mtc,591,346,2.000.000,394,100.000
Jumat,10,2,100.000,bnb,357,100,1.555.345.355,210,2.000.000
Senin,1,7,500.000,bnb,268,782,1.555.345.355,257,2.000.000
Senin,13,11,50.000,btc,530,161,2.000.000,199,2.000.000
Selasa,22,7,100.000,btc,486,556,100.000,189,2.000.000
Kamis,25,5,500.000,btc,437,214,2.000.000,147,2.000.000
Rabu,20,6,100.000,mtc,203,615,100.000,247,2.000.000
Rabu,14,0,50.000,btc,566,197,100.000,452,2.000.000
Kamis,3,6,50.000,bnb,414,333,100.000,333,100.000
Minggu,19,8,500.000,btc,365,405,100.000,374,500.000
Jumat,13,8,500.000,bnb,211,417,1.555.345.355,349,2.000.000
Kamis,9,10,500.000,btc,452,392,1.555.345.355,476,500.000
Senin,15,3,100.000,btc,316,486,100.000,107,100.000
Senin,25,7,50.000,mtc,575,922,1.555.345.355,349,100.000
Senin,3,9,100.000,bnb,542,351,1.555.345.355,423,500.000
Senin,29,2,500.000,mtc,211,300,100.000,208,2.000.000
Rabu,18,4,500.000,bnb,597,685,1.555.345.355,363,2.000.000
Selasa,7,5,500.000,bnb,479,450,2.000.000,374,2.000.000
Selasa,9,5,500.000,bnb,208,221,1.555.345.355,310,500.000
Jumat,21,9,50.000,btc,550,981,1.555.345.355,435,500.000
Rabu,22,5,100.000,mtc,377,447,100.000,280,100.000
Rabu,21,7,50.000,btc,396,505,2.000.000,261,500.000
Kamis,5,9,500.000,bnb,344,32,1.555.345.355,471,500.000
Minggu,20,1,100.000,btc,474,331,100.000,496,100.000
Rabu,2,11,50.000,mtc,345,272,1.555.345.355,193,500.000
Minggu,5,11,500.000,bnb,551,486,2.000.000,130,2.000.000
Senin,3,10,100.000,btc,204,837,1.555.345.355,233,2.000.000
Rabu,5,5,100.000,bnb,490,379,100.000,430,100.000
Rabu,14,0,50.000,mtc,307,575,2.000.000,474,100.000
Jumat,26,7,50.000,mtc,332,837,100.000,497,2.000.000
Kamis,6,3,100.000,bnb,394,662,2.000.000,354,2.000.000
Kamis,4,3,100.000,mtc,202,809,100.000,382,500.000
Jumat,2,3,100.000,btc,282,521,2.000.000,477,2.000.000
Selasa,30,8,100.000,mtc,488,393,1.555.345.355,389,2.000.000
Rabu,23,3,100.000,bnb,574,1,1.555.345.355,471,2.000.000
Rabu,15,10,100.000,bnb,258,25,1.555.345.355,134,2.000.000
Senin,29,11,500.000,bnb,215,853,1.555.345.355,281,500.000
Kamis,15,4,500.000,mtc,251,986,1.555.345.355,332,100.000
Kamis,13,6,500.000,bnb,478,641,100.000,272,500.000
Rabu,29,10,50.000,mtc,356,162,2.000.000,192,100.000
Jumat,26,9,100.000,mtc,543,157,100.000,386,2.000.000
Senin,11,3,50.000,bnb,593,603,2.000.000,141,2.000.000
Minggu,12,7,500.000,bnb,214,909,2.000.000,353,500.000
Rabu,24,3,500.000,btc,393,724,1.555.345.355,418,100.000
Minggu,11,4,50.000,mtc,470,103,100.000,165,500.000
Sabtu,3,1,50.000,bnb,283,434,100.000,480,2.000.000
Selasa,4,2,50.000,mtc,342,250,100.000,201,500.000
Rabu,26,4,500.000,mtc,386,651,100.000,457,500.000
Senin,7,6,100.000,btc,462,790,100.000,269,100.000
Minggu,26,0,100.000,mtc,481,910,1.555.345.355,377,2.000.000
Jumat,2,7,50.000,bnb,419,644,2.000.000,221,2.000.000
Minggu,20,6,500.000,mtc,224,786,100.000,277,2.000.000
Senin,10,9,100.000,bnb,455,574,100.000,168,2.000.000
Rabu,6,10,50.000,btc,504,879,2.000.000,231,500.000
Jumat,19,2,500.000,mtc,374,623,1.555.345.355,136,500.000
Selasa,2,2,500.000,btc,306,52,2.000.000,482,100.000
Kamis,20,4,50.000,btc,426,105,100.000,187,2.000.000
Jumat,2,4,100.000,bnb,244,233,2.000.000,310,100.000
Selasa,23,1,500.000,bnb,516,568,100.000,408,500.000
Selasa,16,0,100.000,btc,285,153,1.555.345.355,289,100.000
Jumat,28,9,100.000,bnb,583,888,100.000,329,500.000
Selasa,10,8,50.000,bnb,481,106,1.555.345.355,128,500.000
Kamis,11,11,50.000,bnb,208,424,100.000,214,2.000.000
Jumat,13,5,500.000,btc,401,192,100.000,334,2.000.000
Minggu,25,0,500.000,mtc,348,932,1.555.345.355,387,2.000.000
Minggu,23,6,100.000,bnb,441,447,100.000,296,500.000
Minggu,2,0,100.000,btc,367,178,1.555.345.355,267,2.000.000
Minggu,4,5,100.000,btc,261,533,1.555.345.355,333,100.000
Senin,2,6,500.000,btc,578,522,100.000,344,2.000.000
Senin,20,4,50.000,btc,376,238,100.000,266,500.000
Selasa,7,10,500.000,mtc,562,447,2.000.000,244,2.000.000
Kamis,10,4,50.000,mtc,496,136,1.555.345.355,495,100.000
Sabtu,24,5,50.000,mtc,539,975,100.000,349,2.000.000
Minggu,26,0,100.000,bnb,215,27,2.000.000,294,2.000.000
Sabtu,2,6,50.000,mtc,358,700,100.000,160,2.000.000
Selasa,6,7,500.000,bnb,352,936,2.000.000,223,2.000.000
Senin,10,4,100.000,bnb,308,69,1.555.345.355,347,500.000
Rabu,29,2,50.000,mtc,295,125,2.000.000,392,500.000
Jumat,7,2,50.000,bnb,486,597,1.555.345.355,155,100.000
Jumat,6,11,500.000,btc,305,157,100.000,422,2.000.000
Sabtu,23,7,500.000,mtc,333,248,2.000.000,104,500.000
Selasa,26,7,500.000,btc,310,152,100.000,388,100.000
Rabu,18,10,500.000,btc,306,590,2.000.000,257,2.000.000
Sabtu,13,1,100.000,bnb,381,874,1.555.345.355,204,100.000
Rabu,4,9,500.000,bnb,363,819,2.000.000,111,500.000
Rabu,18,6,100.000,bnb,588,87,100.000,127,500.000
Rabu,29,7,50.000,bnb,401,373,100.000,483,500.000
Kamis,25,6,500.000,mtc,477,967,1.555.345.355,165,100.000
Jumat,25,9,50.000,btc,564,852,1.555.345.355,130,500.000
Rabu,22,0,100.000,btc,406,748,1.555.345.355,200,2.000.000
Kamis,25,10,50.000,btc,580,745,1.555.345.355,485,100.000
Minggu,27,10,500.000,mtc,407,451,100.000,146,100.000
Rabu,20,7,50.000,btc,535,808,1.555.345.355,326,500.000
Jumat,11,7,500.000,bnb,329,756,1.555.345.355,467,500.000
Jumat,15,6,500.000,mtc,232,705,1.555.345.355,320,100.000
Rabu,29,3,500.000,bnb,380,40,1.555.345.355,179,2.000.000
Sabtu,3,11,500.000,bnb,214,153,2.000.000,214,2.000.000
Jumat,20,9,50.000,bnb,397,130,100.000,100,500.000
Senin,2,10,50.000,bnb,433,693,2.000.000,210,100.000
Minggu,3,7,500.000,btc,524,420,1.555.345.355,125,2.000.000
Minggu,15,6,100.000,btc,395,824,100.000,498,100.000
Kamis,11,2,500.000,bnb,456,268,2.000.000,255,100.000
Kamis,8,2,500.000,bnb,295,132,2.000.000,206,100.000
Jumat,25,3,100.000,bnb,221,543,100.000,215,500.000
Rabu,4,5,100.000,btc,362,245,1.555.345.355,135,2.000.000
Selasa,29,1,500.000,mtc,494,782,1.555.345.355,383,500.000
Jumat,19,8,100.000,mtc,286,383,2.000.000,192,2.000.000
Sabtu,8,9,500.000,mtc,318,560,2.000.000,398,2.000.000
Sabtu,19,11,50.000,bnb,512,536,2.000.000,294,100.000
Rabu,12,10,100.000,bnb,431,290,100.000,225,500.000
Senin,2,11,50.000,btc,298,144,100.000,369,100.000
Selasa,28,3,500.000,bnb,236,881,100.000,361,2.000.000
Jumat,26,4,50.000,mtc,580,769,2.000.000,353,500.000
Jumat,16,11,100.000,bnb,375,303,2.000.000,299,2.000.000
Jumat,14,10,50.000,bnb,265,679,100.000,110,500.000
Minggu,30,10,500.000,btc,229,569,100.000,429,500.000
Jumat,22,9,500.000,btc,435,596,2.000.000,283,2.000.000
Sabtu,20,5,50.000,btc,206,208,1.555.345.355,221,100.000
Rabu,24,6,50.000,btc,354,477,2.000.000,392,2.000.000
Senin,14,0,500.000,bnb,332,98,1.555.345.355,460,500.000
Selasa,4,5,500.000,mtc,322,500,2.000.000,466,2.000.000
Kamis,6,9,500.000,mtc,331,925,100.000,409,100.000
Kamis,27,10,500.000,mtc,314,651,1.555.345.355,369,100.000
Rabu,25,11,500.000,btc,484,471,2.000.000,300,100.000
Jumat,21,5,500.000,bnb,363,912,2.000.000,402,500.000
Sabtu,15,3,100.000,mtc,233,325,100.000,307,100.000
Selasa,17,2,500.000,bnb,244,206,2.000.000,221,500.000
Jumat,30,6,50.000,bnb,237,780,2.000.000,141,100.000
Selasa,16,0,500.000,btc,421,436,100.000,207,2.000.000
Jumat,4,8,500.000,bnb,354,203,1.555.345.355,385,2.000.000
Rabu,30,7,50.000,bnb,378,737,100.000,465,100.000
Selasa,25,1,500.000,mtc,478,627,100.000,447,100.000
Minggu,24,1,50.000,bnb,581,429,1.555.345.355,480,2.000.000
Jumat,26,5,100.000,mtc,284,935,2.000.000,358,100.000
Sabtu,20,1,100.000,mtc,226,693,100.000,394,500.000
Kamis,16,8,100.000,bnb,211,719,1.555.345.355,424,2.000.000
Kamis,16,8,100.000,btc,452,187,100.000,280,100.000
Kamis,29,10,100.000,bnb,265,833,2.000.000,114,500.000
Minggu,20,5,500.000,mtc,444,534,100.000,301,500.000
Jumat,3,1,50.000,mtc,353,462,100.000,452,100.000
Kamis,25,9,50.000,bnb,338,213,1.555.345.355,265,2.000.000
Jumat,23,4,500.000,btc,201,812,1.555.345.355,370,500.000
Senin,12,10,50.000,bnb,400,176,2.000.000,272,2.000.000
Sabtu,3,10,500.000,bnb,451,393,2.000.000,324,100.000
Jumat,7,4,100.000,mtc,417,373,2.000.000,233,100.000
Kamis,21,9,100.000,mtc,239,219,2.000.000,227,100.000
Jumat,1,11,100.000,bnb,559,933,1.555.345.355,278,2.000.000
Rabu,23,6,500.000,btc,219,180,1.555.345.355,231,500.000
Kamis,24,3,50.000,btc,227,14,2.000.000,117,500.000
Senin,4,0,50.000,btc,282,557,2.000.000,103,2.000.000
Kamis,16,0,100.000,btc,211,980,1.555.345.355,322,500.000
Rabu,18,7,500.000,btc,363,160,100.000,225,2.000.000
Minggu,6,2,500.000,mtc,369,889,1.555.345.355,330,500.000
Sabtu,2,10,500.000,mtc,514,220,1.555.345.355,269,500.000
Jumat,13,6,50.000,btc,578,765,1.555.345.355,171,100.000
Kamis,8,1,500.000,btc,324,854,2.000.000,159,2.000.000
Senin,28,6,50.000,bnb,372,781,1.555.345.355,215,500.000
Selasa,6,6,500.000,mtc,403,698,100.000,440,100.000
Rabu,6,11,50.000,btc,208,125,100.000,355,2.000.000
Sabtu,7,9,500.000,btc,270,5,100.000,352,100.000
Rabu,25,6,50.000,mtc,577,19,2.000.000,167,500.000
Minggu,28,1,100.000,btc,328,844,100.000,340,100.000
Sabtu,20,1,500.000,mtc,372,652,2.000.000,158,2.000.000
Kamis,23,7,500.000,bnb,530,986,100.000,146,100.000
Senin,2,9,50.000,bnb,560,480,2.000.000,256,2.000.000
Minggu,25,5,500.000,mtc,212,527,2.000.000,144,500.000
Kamis,17,3,100.000,mtc,253,332,2.000.000,254,100.000
Senin,18,1,100.000,bnb,318,767,2.000.000,442,500.000
Senin,27,3,500.000,mtc,375,93,100.000,140,2.000.000
Sabtu,27,3,500.000,bnb,527,112,1.555.345.355,359,500.000
Jumat,22,4,50.000,bnb,364,648,1.555.345.355,198,2.000.000
Selasa,5,7,100.000,btc,577,538,1.555.345.355,316,100.000
Minggu,28,2,50.000,mtc,397,811,100.000,437,100.000
Selasa,18,6,100.000,btc,246,291,1.555.345.355,374,2.000.000
Kamis,18,8,50.000,mtc,599,692,100.000,169,500.000
Minggu,1,6,50.000,btc,224,724,2.000.000,386,100.000
Kamis,1,10,500.000,btc,398,766,100.000,155,100.000
Jumat,2,8,500.000,mtc,292,196,100.000,204,2.000.000
Selasa,5,4,500.000,mtc,406,205,1.555.345.355,139,500.000
Selasa,9,11,500.000,bnb,374,414,2.000.000,148,2.000.000
Sabtu,10,5,50.000,btc,276,701,100.000,379,2.000.000
Selasa,25,9,100.000,mtc,502,263,2.000.000,365,500.000
Kamis,8,3,500.000,mtc,294,673,2.000.000,417,100.000
Jumat,30,8,100.000,mtc,488,928,100.000,466,500.000
Rabu,9,0,100.000,btc,402,321,2.000.000,440,500.000
Kamis,25,0,50.000,mtc,591,292,1.555.345.355,194,2.000.000
Selasa,6,4,100.000,btc,428,600,100.000,301,2.000.000
Senin,6,11,100.000,bnb,381,516,100.000,283,100.000
Minggu,13,1,100.000,mtc,395,481,100.000,117,500.000
Selasa,16,8,500.000,bnb,280,249,1.555.345.355,371,500.000
Jumat,26,6,50.000,bnb,514,146,1.555.345.355,203,500.000
Kamis,29,5,50.000,bnb,492,17,1.555.345.355,257,100.000
Kamis,1,6,50.000,mtc,457,505,1.555.345.355,382,2.000.000
Jumat,10,1,50.000,mtc,445,59,2.000.000,179,500.000
Rabu,8,6,500.000,btc,209,104,2.000.000,421,100.000
Kamis,9,0,100.000,btc,242,760,100.000,354,500.000
Jumat,18,6,100.000,mtc,210,198,2.000.000,124,2.000.000
Jumat,2,5,50.000,btc,284,684,100.000,256,100.000
Kamis,6,2,100.000,mtc,417,251,2.000.000,369,500.000
Rabu,26,9,50.000,mtc,531,375,2.000.000,351,100.000
Sabtu,25,4,100.000,bnb,226,916,100.000,406,100.000
Senin,4,7,500.000,mtc,278,406,100.000,219,2.000.000
Selasa,16,9,100.000,btc,446,117,2.000.000,172,500.000
Jumat,2,1,100.000,btc,210,701,100.000,136,500.000
Rabu,21,6,50.000,btc,488,402,100.000,176,500.000
Selasa,8,6,50.000,btc,454,284,100.000,115,2.000.000
Sabtu,4,7,100.000,mtc,222,524,2.000.000,302,500.000
Kamis,21,10,500.000,btc,280,745,1.555.345.355,288,2.000.000
Sabtu,26,4,500.000,mtc,218,283,100.000,423,500.000
Jumat,5,10,500.000,btc,306,664,2.000.000,215,100.000
Jumat,22,5,50.000,btc,578,266,100.000,274,100.000
Selasa,17,4,500.000,btc,447,534,1.555.345.355,209,500.000
Jumat,19,10,50.000,btc,498,492,100.000,188,2.000.000
Minggu,15,3,500.000,btc,235,971,100.000,165,2.000.000
Senin,6,3,500.000,mtc,506,260,2.000.000,159,2.000.000
Selasa,27,9,500.000,btc,243,679,100.000,197,500.000
Kamis,28,6,500.000,bnb,292,429,1.555.345.355,333,500.000
Kamis,12,1,100.000,mtc,483,307,1.555.345.355,105,100.000
Senin,14,6,50.000,bnb,414,678,2.000.000,263,2.000.000
Sabtu,18,5,500.000,bnb,225,572,100.000,370,100.000
Senin,27,9,100.000,bnb,427,747,100.000,156,500.000
Minggu,9,5,50.000,mtc,457,667,1.555.345.355,477,2.000.000
Rabu,25,5,100.000,btc,384,332,100.000,270,100.000
Selasa,8,8,50.000,btc,209,991,1.555.345.355,201,100.000
Sabtu,13,3,500.000,bnb,374,179,1.555.345.355,332,100.000
Jumat,19,5,50.000,mtc,339,908,100.000,200,500.000
Sabtu,21,4,500.000,bnb,363,214,2.000.000,114,500.000
Jumat,9,7,100.000,btc,543,459,1.555.345.355,457,2.000.000
Jumat,9,3,50.000,mtc,530,243,1.555.345.355,412,2.000.000
Sabtu,19,8,500.000,bnb,229,273,2.000.000,377,100.000
Selasa,19,5,100.000,btc,405,435,2.000.000,392,500.000
Kamis,3,5,100.000,bnb,266,581,2.000.000,284,500.000
Sabtu,14,10,500.000,mtc,335,641,1.555.345.355,285,100.000
Selasa,18,7,50.000,btc,477,592,1.555.345.355,243,2.000.000
Senin,18,10,100.000,mtc,461,345,2.000.000,284,100.000
Senin,18,0,100.000,mtc,429,498,1.555.345.355,401,500.000
Minggu,4,7,50.000,bnb,461,529,1.555.345.355,337,2.000.000
Kamis,1,2,100.000,btc,444,870,100.000,338,2.000.000
Jumat,22,6,500.000,mtc,247,399,1.555.345.355,312,2.000.000
Kamis,2,10,500.000,btc,464,229,100.000,213,2.000.000
Senin,25,6,50.000,bnb,381,807,1.555.345.355,185,2.000.000
Senin,20,5,50.000,mtc,509,307,2.000.000,202,100.000
Sabtu,29,9,50.000,btc,251,697,100.000,277,2.000.000
Jumat,26,8,100.000,mtc,306,631,100.000,402,500.000
Senin,18,6,500.000,mtc,323,5,1.555.345.355,355,100.000
Kamis,18,9,50.000,bnb,499,725,1.555.345.355,233,500.000
Rabu,16,7,500.000,mtc,335,666,100.000,276,500.000
Sabtu,2,11,500.000,mtc,349,934,1.555.345.355,156,100.000
Sabtu,5,7,500.000,mtc,207,398,2.000.000,366,100.000
Sabtu,8,5,100.000,bnb,406,770,100.000,448,100.000
Rabu,6,6,500.000,btc,592,83,2.000.000,250,2.000.000
Sabtu,23,9,50.000,bnb,408,140,100.000,482,100.000
Kamis,26,8,100.000,bnb,286,636,100.000,411,100.000
Sabtu,9,8,500.000,btc,258,938,2.000.000,169,100.000
Senin,16,6,50.000,btc,282,254,2.000.000,250,100.000
Kamis,23,8,500.000,mtc,509,895,2.000.000,473,100.000
Sabtu,30,7,50.000,btc,502,289,100.000,206,100.000
Senin,23,6,50.000,btc,220,150,1.555.345.355,321,500.000
Rabu,14,4,500.000,bnb,236,344,100.000,221,500.000
Kamis,10,9,500.000,mtc,332,939,2.000.000,402,100.000
Senin,20,4,100.000,btc,324,5,2.000.000,174,2.000.000
Sabtu,28,0,100.000,btc,487,837,2.000.000,238,100.000
Jumat,21,5,500.000,mtc,443,782,100.000,301,2.000.000
Senin,29,9,50.000,bnb,592,595,2.000.000,283,500.000
Selasa,26,6,500.000,mtc,534,982,1.555.345.355,129,500.000
Selasa,6,5,100.000,btc,426,923,100.000,204,2.000.000
Senin,4,9,50.000,bnb,417,736,2.000.000,283,2.000.000
Senin,23,4,100.000,btc,215,770,100.000,314,500.000
Jumat,13,3,50.000,bnb,536,269,1.555.345.355,322,500.000
Selasa,15,6,50.000,btc,450,765,100.000,197,100.000
Minggu,21,8,500.000,mtc,580,300,2.000.000,280,100.000
Minggu,23,9,50.000,btc,245,627,1.555.345.355,159,500.000
Selasa,10,3,100.000,mtc,293,994,1.555.345.355,335,500.000
Sabtu,26,4,500.000,bnb,574,378,100.000,318,100.000
Rabu,22,5,500.000,btc,580,150,2.000.000,428,500.000
Sabtu,18,2,500.000,mtc,236,965,100.000,467,100.000
Senin,22,8,50.000,btc,486,414,2.000.000,362,2.000.000
Jumat,8,0,50.000,bnb,471,910,100.000,466,100.000
Sabtu,23,2,100.000,bnb,458,44,100.000,384,100.000
Selasa,7,5,50.000,btc,427,774,2.000.000,359,500.000
Selasa,25,4,100.000,btc,323,327,1.555.345.355,338,100.000
Sabtu,5,3,100.000,mtc,560,521,1.555.345.355,144,500.000
